,temp,data
0,-3,2019-01-01
1,-2,2019-02-01
2,-2,2019-03-01
3,-3,2019-04-01
4,-5,2019-05-01
5,-8,2019-06-01
6,-10,2019-07-01
7,-8,2019-08-01
8,-10,2019-09-01
9,-9,2019-10-01
10,-10,2019-11-01
11,-9,2019-12-01
12,-4,2019-01-13
13,-2,2019-01-14
14,0,2019-01-15
15,-5,2019-01-16
16,-1,2019-01-17
17,1,2019-01-18
18,1,2019-01-19
19,-4,2019-01-20
20,-4,2019-01-21
21,-14,2019-01-22
22,-13,2019-01-23
23,-11,2019-01-24
24,-11,2019-01-25
25,-8,2019-01-26
26,-7,2019-01-27
27,-7,2019-01-28
28,-2,2019-01-29
29,-2,2019-01-30
30,1,2019-01-31
31,-1,2019-01-02
32,-4,2019-02-02
33,1,2019-03-02
34,2,2019-04-02
35,2,2019-05-02
36,-2,2019-06-02
37,-2,2019-07-02
38,0,2019-08-02
39,-2,2019-09-02
40,-3,2019-10-02
41,-1,2019-11-02
42,1,2019-12-02
43,1,2019-02-13
44,-3,2019-02-14
45,2,2019-02-15
46,2,2019-02-16
47,3,2019-02-17
48,-2,2019-02-18
49,0,2019-02-19
50,2,2019-02-20
51,1,2019-02-21
52,-8,2019-02-22
53,-6,2019-02-23
54,0,2019-02-24
55,2,2019-02-25
56,2,2019-02-26
57,-1,2019-02-27
58,2,2019-02-28
59,2,2019-01-03
60,-5,2019-02-03
61,-1,2019-03-03
62,1,2019-04-03
63,4,2019-05-03
64,2,2019-06-03
65,-3,2019-07-03
66,3,2019-08-03
67,4,2019-09-03
68,4,2019-10-03
69,3,2019-11-03
70,0,2019-12-03
71,-2,2019-03-13
72,1,2019-03-14
73,2,2019-03-15
74,0,2019-03-16
75,2,2019-03-17
76,4,2019-03-18
77,4,2019-03-19
78,3,2019-03-20
79,2,2019-03-21
80,2,2019-03-22
81,4,2019-03-23
82,2,2019-03-24
83,6,2019-03-25
84,6,2019-03-26
85,3,2019-03-27
86,3,2019-03-28
87,4,2019-03-29
88,9,2019-03-30
89,15,2019-03-31
90,7,2019-01-04
91,7,2019-02-04
92,9,2019-03-04
93,10,2019-04-04
94,9,2019-05-04
95,8,2019-06-04
96,8,2019-07-04
97,10,2019-08-04
98,17,2019-09-04
99,14,2019-10-04
100,10,2019-11-04
101,5,2019-12-04
102,7,2019-04-13
103,4,2019-04-14
104,11,2019-04-15
105,13,2019-04-16
106,10,2019-04-17
107,11,2019-04-18
108,11,2019-04-19
109,12,2019-04-20
110,16,2019-04-21
111,18,2019-04-22
112,18,2019-04-23
113,22,2019-04-24
114,23,2019-04-25
115,21,2019-04-26
116,23,2019-04-27
117,12,2019-04-28
118,10,2019-04-29
119,12,2019-04-30
120,16,2019-01-05
121,11,2019-02-05
122,16,2019-03-05
123,14,2019-04-05
124,22,2019-05-05
125,23,2019-06-05
126,25,2019-07-05
127,22,2019-08-05
128,25,2019-09-05
129,25,2019-10-05
130,21,2019-11-05
131,21,2019-12-05
132,21,2019-05-13
133,21,2019-05-14
134,22,2019-05-15
135,18,2019-05-16
136,18,2019-05-17
137,21,2019-05-18
138,21,2019-05-19
139,22,2019-05-20
140,25,2019-05-21
141,26,2019-05-22
142,24,2019-05-23
143,18,2019-05-24
144,22,2019-05-25
145,23,2019-05-26
146,21,2019-05-27
147,27,2019-05-28
148,29,2019-05-29
149,29,2019-05-30
150,24,2019-05-31
151,22,2019-01-06
152,25,2019-02-06
153,21,2019-03-06
154,23,2019-04-06
155,26,2019-05-06
156,29,2019-06-06
157,30,2019-07-06
158,30,2019-08-06
159,31,2019-09-06
160,26,2019-10-06
161,28,2019-11-06
162,26,2019-12-06
163,20,2019-06-13
164,24,2019-06-14
165,21,2019-06-15
166,22,2019-06-16
167,26,2019-06-17
168,26,2019-06-18
169,27,2019-06-19
170,29,2019-06-20
171,30,2019-06-21
172,32,2019-06-22
173,26,2019-06-23
174,26,2019-06-24
175,23,2019-06-25
176,24,2019-06-26
177,16,2019-06-27
178,16,2019-06-28
179,13,2019-06-29
180,19,2019-06-30
181,26,2019-01-07
182,22,2019-02-07
183,19,2019-03-07
184,17,2019-04-07
185,19,2019-05-07
186,18,2019-06-07
187,19,2019-07-07
188,20,2019-08-07
189,21,2019-09-07
190,20,2019-10-07
191,18,2019-11-07
192,16,2019-12-07
193,17,2019-07-13
194,19,2019-07-14
195,19,2019-07-15
196,22,2019-07-16
197,21,2019-07-17
198,21,2019-07-18
199,20,2019-07-19
200,21,2019-07-20
201,22,2019-07-21
202,25,2019-07-22
203,20,2019-07-23
204,22,2019-07-24
205,22,2019-07-25
206,27,2019-07-26
207,28,2019-07-27
208,25,2019-07-28
209,17,2019-07-29
210,16,2019-07-30
211,15,2019-07-31
212,15,2019-01-08
213,16,2019-02-08
214,17,2019-03-08
215,14,2019-04-08
216,13,2019-05-08
217,18,2019-06-08
218,21,2019-07-08
219,24,2019-08-08
220,19,2019-09-08
221,17,2019-10-08
222,19,2019-11-08
223,20,2019-12-08
224,24,2019-08-13
225,22,2019-08-14
226,24,2019-08-15
227,19,2019-08-16
228,18,2019-08-17
229,22,2019-08-18
230,21,2019-08-19
231,27,2019-08-20
232,25,2019-08-21
233,24,2019-08-22
234,22,2019-08-23
235,23,2019-08-24
236,20,2019-08-25
237,21,2019-08-26
238,21,2019-08-27
239,17,2019-08-28
240,22,2019-08-29
241,23,2019-08-30
242,22,2019-08-31
243,24,2019-01-09
244,22,2019-02-09
245,23,2019-03-09
246,24,2019-04-09
247,18,2019-05-09
248,23,2019-06-09
249,21,2019-07-09
250,22,2019-08-09
251,23,2019-09-09
252,24,2019-10-09
253,26,2019-11-09
254,26,2019-12-09
255,22,2019-09-13
256,16,2019-09-14
257,13,2019-09-15
258,15,2019-09-16
259,12,2019-09-17
260,13,2019-09-18
261,11,2019-09-19
262,8,2019-09-20
263,10,2019-09-21
264,7,2019-09-22
265,8,2019-09-23
266,8,2019-09-24
267,8,2019-09-25
268,11,2019-09-26
269,10,2019-09-27
270,11,2019-09-28
271,13,2019-09-29
272,14,2019-09-30
273,17,2019-01-10
274,16,2019-02-10
275,20,2019-03-10
276,15,2019-04-10
277,10,2019-05-10
278,5,2019-06-10
279,4,2019-07-10
280,5,2019-08-10
281,6,2019-09-10
282,9,2019-10-10
283,11,2019-11-10
284,11,2019-12-10
285,12,2019-10-13
286,15,2019-10-14
287,15,2019-10-15
288,8,2019-10-16
289,18,2019-10-17
290,15,2019-10-18
291,16,2019-10-19
292,17,2019-10-20
293,17,2019-10-21
294,11,2019-10-22
295,14,2019-10-23
296,11,2019-10-24
297,13,2019-10-25
298,13,2019-10-26
299,14,2019-10-27
300,14,2019-10-28
301,7,2019-10-29
302,2,2019-10-30
303,-1,2019-10-31
304,0,2019-01-11
305,4,2019-02-11
306,4,2019-03-11
307,9,2019-04-11
308,13,2019-05-11
309,11,2019-06-11
310,10,2019-07-11
311,6,2019-08-11
312,4,2019-09-11
313,9,2019-10-11
314,9,2019-11-11
315,8,2019-12-11
316,5,2019-11-13
317,7,2019-11-14
318,6,2019-11-15
319,4,2019-11-16
320,7,2019-11-17
321,6,2019-11-18
322,4,2019-11-19
323,4,2019-11-20
324,-4,2019-11-21
325,-3,2019-11-22
326,-3,2019-11-23
327,-2,2019-11-24
328,-3,2019-11-25
329,-2,2019-11-26
330,-1,2019-11-27
331,-1,2019-11-28
332,2,2019-11-29
333,2,2019-11-30
334,-1,2019-01-12
335,-2,2019-02-12
336,-1,2019-03-12
337,-1,2019-04-12
338,3,2019-05-12
339,2,2019-06-12
340,2,2019-07-12
341,3,2019-08-12
342,3,2019-09-12
343,3,2019-10-12
344,2,2019-11-12
345,2,2019-12-12
346,1,2019-12-13
347,0,2019-12-14
348,2,2019-12-15
349,3,2019-12-16
350,3,2019-12-17
351,5,2019-12-18
352,6,2019-12-19
353,2,2019-12-20
354,2,2019-12-21
355,3,2019-12-22
356,7,2019-12-23
357,7,2019-12-24
358,1,2019-12-25
359,0,2019-12-26
360,-1,2019-12-27
361,0,2019-12-28
362,-2,2019-12-29
363,0,2019-12-30
364,2,2019-12-31
365,1,2020-01-01
366,2,2020-02-01
367,3,2020-03-01
368,1,2020-04-01
369,1,2020-05-01
370,-1,2020-06-01
371,0,2020-07-01
372,1,2020-08-01
373,3,2020-09-01
374,1,2020-10-01
375,0,2020-11-01
376,1,2020-12-01
377,2,2020-01-13
378,1,2020-01-14
379,2,2020-01-15
380,4,2020-01-16
381,4,2020-01-17
382,2,2020-01-18
383,1,2020-01-19
384,2,2020-01-20
385,4,2020-01-21
386,3,2020-01-22
387,-2,2020-01-23
388,1,2020-01-24
389,2,2020-01-25
390,2,2020-01-26
391,3,2020-01-27
392,-2,2020-01-28
393,1,2020-01-29
394,0,2020-01-30
395,1,2020-01-31
396,0,2020-01-02
397,3,2020-02-02
398,3,2020-03-02
399,-1,2020-04-02
400,-4,2020-05-02
401,-1,2020-06-02
402,-8,2020-07-02
403,-7,2020-08-02
404,-1,2020-09-02
405,2,2020-10-02
406,1,2020-11-02
407,1,2020-12-02
408,-1,2020-02-13
409,2,2020-02-14
410,2,2020-02-15
411,1,2020-02-16
412,5,2020-02-17
413,6,2020-02-18
414,5,2020-02-19
415,7,2020-02-20
416,8,2020-02-21
417,6,2020-02-22
418,3,2020-02-23
419,5,2020-02-24
420,3,2020-02-25
421,2,2020-02-26
422,3,2020-02-27
423,3,2020-02-28
424,1,2020-02-29
425,5,2020-01-03
426,4,2020-02-03
427,5,2020-03-03
428,6,2020-04-03
429,7,2020-05-03
430,8,2020-06-03
431,12,2020-07-03
432,8,2020-08-03
433,11,2020-09-03
434,9,2020-10-03
435,8,2020-11-03
436,9,2020-12-03
437,7,2020-03-13
438,8,2020-03-14
439,-1,2020-03-15
440,6,2020-03-16
441,9,2020-03-17
442,10,2020-03-18
443,10,2020-03-19
444,6,2020-03-20
445,1,2020-03-21
446,0,2020-03-22
447,1,2020-03-23
448,4,2020-03-24
449,10,2020-03-25
450,15,2020-03-26
451,15,2020-03-27
452,17,2020-03-28
453,16,2020-03-29
454,4,2020-03-30
455,-1,2020-03-31
456,4,2020-01-04
457,5,2020-02-04
458,11,2020-03-04
459,8,2020-04-04
460,5,2020-05-04
461,5,2020-06-04
462,10,2020-07-04
463,14,2020-08-04
464,15,2020-09-04
465,9,2020-10-04
466,5,2020-11-04
467,8,2020-12-04
468,15,2020-04-13
469,10,2020-04-14
470,7,2020-04-15
471,7,2020-04-16
472,8,2020-04-17
473,7,2020-04-18
474,6,2020-04-19
475,8,2020-04-20
476,9,2020-04-21
477,7,2020-04-22
478,9,2020-04-23
479,8,2020-04-24
480,7,2020-04-25
481,9,2020-04-26
482,10,2020-04-27
483,10,2020-04-28
484,14,2020-04-29
485,8,2020-04-30
486,12,2020-01-05
487,16,2020-02-05
488,22,2020-03-05
489,19,2020-04-05
490,21,2020-05-05
491,20,2020-06-05
492,19,2020-07-05
493,12,2020-08-05
494,14,2020-09-05
495,15,2020-10-05
496,20,2020-11-05
497,24,2020-12-05
498,13,2020-05-13
499,13,2020-05-14
500,12,2020-05-15
501,15,2020-05-16
502,14,2020-05-17
503,12,2020-05-18
504,12,2020-05-19
505,14,2020-05-20
506,10,2020-05-21
507,8,2020-05-22
508,9,2020-05-23
509,10,2020-05-24
510,18,2020-05-25
511,18,2020-05-26
512,17,2020-05-27
513,20,2020-05-28
514,15,2020-05-29
515,23,2020-05-30
516,14,2020-05-31
517,10,2020-01-06
518,10,2020-02-06
519,14,2020-03-06
520,19,2020-04-06
521,19,2020-05-06
522,22,2020-06-06
523,25,2020-07-06
524,27,2020-08-06
525,27,2020-09-06
526,27,2020-10-06
527,28,2020-11-06
528,24,2020-12-06
529,16,2020-06-13
530,20,2020-06-14
531,22,2020-06-15
532,28,2020-06-16
533,29,2020-06-17
534,29,2020-06-18
535,28,2020-06-19
536,26,2020-06-20
537,19,2020-06-21
538,22,2020-06-22
539,21,2020-06-23
540,25,2020-06-24
541,27,2020-06-25
542,25,2020-06-26
543,28,2020-06-27
544,27,2020-06-28
545,20,2020-06-29
546,24,2020-06-30
547,23,2020-01-07
548,25,2020-02-07
549,27,2020-03-07
550,25,2020-04-07
551,26,2020-05-07
552,28,2020-06-07
553,30,2020-07-07
554,27,2020-08-07
555,20,2020-09-07
556,21,2020-10-07
557,26,2020-11-07
558,28,2020-12-07
559,25,2020-07-13
560,19,2020-07-14
561,21,2020-07-15
562,17,2020-07-16
563,19,2020-07-17
564,20,2020-07-18
565,21,2020-07-19
566,22,2020-07-20
567,20,2020-07-21
568,20,2020-07-22
569,18,2020-07-23
570,18,2020-07-24
571,21,2020-07-25
572,23,2020-07-26
573,25,2020-07-27
574,27,2020-07-28
575,29,2020-07-29
576,22,2020-07-30
577,19,2020-07-31
578,19,2020-01-08
579,19,2020-02-08
580,22,2020-03-08
581,24,2020-04-08
582,26,2020-05-08
583,27,2020-06-08
584,24,2020-07-08
585,24,2020-08-08
586,24,2020-09-08
587,26,2020-10-08
588,21,2020-11-08
589,18,2020-12-08
590,16,2020-08-13
591,16,2020-08-14
592,19,2020-08-15
593,21,2020-08-16
594,23,2020-08-17
595,20,2020-08-18
596,20,2020-08-19
597,20,2020-08-20
598,22,2020-08-21
599,24,2020-08-22
600,25,2020-08-23
601,23,2020-08-24
602,24,2020-08-25
603,20,2020-08-26
604,21,2020-08-27
605,19,2020-08-28
606,20,2020-08-29
607,24,2020-08-30
608,30,2020-08-31
609,22,2020-01-09
610,20,2020-02-09
611,22,2020-03-09
612,23,2020-04-09
613,21,2020-05-09
614,24,2020-06-09
615,24,2020-07-09
616,18,2020-08-09
617,16,2020-09-09
618,16,2020-10-09
619,15,2020-11-09
620,17,2020-12-09
621,18,2020-09-13
622,15,2020-09-14
623,17,2020-09-15
624,16,2020-09-16
625,23,2020-09-17
626,13,2020-09-18
627,14,2020-09-19
628,13,2020-09-20
629,14,2020-09-21
630,19,2020-09-22
631,21,2020-09-23
632,21,2020-09-24
633,22,2020-09-25
634,20,2020-09-26
635,18,2020-09-27
636,14,2020-09-28
637,17,2020-09-29
638,18,2020-09-30
639,18,2020-01-10
640,19,2020-02-10
641,19,2020-03-10
642,19,2020-04-10
643,20,2020-05-10
644,20,2020-06-10
645,16,2020-07-10
646,15,2020-08-10
647,13,2020-09-10
648,16,2020-10-10
649,14,2020-11-10
650,13,2020-12-10
651,17,2020-10-13
652,18,2020-10-14
653,15,2020-10-15
654,10,2020-10-16
655,5,2020-10-17
656,10,2020-10-18
657,7,2020-10-19
658,5,2020-10-20
659,4,2020-10-21
660,7,2020-10-22
661,14,2020-10-23
662,11,2020-10-24
663,10,2020-10-25
664,11,2020-10-26
665,11,2020-10-27
666,10,2020-10-28
667,9,2020-10-29
668,6,2020-10-30
669,9,2020-10-31
670,6,2020-01-11
671,7,2020-02-11
672,8,2020-03-11
673,9,2020-04-11
674,8,2020-05-11
675,7,2020-06-11
676,10,2020-07-11
677,10,2020-08-11
678,3,2020-09-11
679,4,2020-10-11
680,2,2020-11-11
681,2,2020-12-11
682,4,2020-11-13
683,3,2020-11-14
684,2,2020-11-15
685,0,2020-11-16
686,-4,2020-11-17
687,-2,2020-11-18
688,1,2020-11-19
689,0,2020-11-20
690,1,2020-11-21
691,-1,2020-11-22
692,1,2020-11-23
693,2,2020-11-24
694,1,2020-11-25
695,1,2020-11-26
696,2,2020-11-27
697,2,2020-11-28
698,3,2020-11-29
699,4,2020-11-30
700,0,2020-01-12
701,-2,2020-02-12
702,-4,2020-03-12
703,-3,2020-04-12
704,-2,2020-05-12
705,-3,2020-06-12
706,-4,2020-07-12
707,-3,2020-08-12
708,-3,2020-09-12
709,-5,2020-10-12
710,-3,2020-11-12
711,-7,2020-12-12
712,-5,2020-12-13
713,-4,2020-12-14
714,-4,2020-12-15
715,-1,2020-12-16
716,2,2020-12-17
717,1,2020-12-18
718,-2,2020-12-19
719,0,2020-12-20
720,1,2020-12-21
721,1,2020-12-22
722,-2,2020-12-23
723,-4,2020-12-24
724,-1,2020-12-25
725,0,2020-12-26
726,-2,2020-12-27
727,-7,2020-12-28
728,-5,2020-12-29
729,-1,2020-12-30
730,1,2020-12-31
731,0,2021-01-01
732,1,2021-02-01
733,0,2021-03-01
734,0,2021-04-01
735,-1,2021-05-01
736,-4,2021-06-01
737,-5,2021-07-01
738,-4,2021-08-01
739,-5,2021-09-01
740,-6,2021-10-01
741,-10,2021-11-01
742,-11,2021-12-01
743,-10,2021-01-13
744,-13,2021-01-14
745,-17,2021-01-15
746,-16,2021-01-16
747,-17,2021-01-17
748,-19,2021-01-18
749,-14,2021-01-19
750,-9,2021-01-20
751,-11,2021-01-21
752,-1,2021-01-22
753,1,2021-01-23
754,3,2021-01-24
755,3,2021-01-25
756,1,2021-01-26
757,1,2021-01-27
758,0,2021-01-28
759,1,2021-01-29
760,-3,2021-01-30
761,-4,2021-01-31
762,-3,2021-01-02
763,-6,2021-02-02
764,-3,2021-03-02
765,-2,2021-04-02
766,-7,2021-05-02
767,-14,2021-06-02
768,-10,2021-07-02
769,-14,2021-08-02
770,-14,2021-09-02
771,-13,2021-10-02
772,-14,2021-11-02
773,-15,2021-12-02
774,-14,2021-02-13
775,-12,2021-02-14
776,-16,2021-02-15
777,-13,2021-02-16
778,-10,2021-02-17
779,-13,2021-02-18
780,-13,2021-02-19
781,-12,2021-02-20
782,-8,2021-02-21
783,-10,2021-02-22
784,-22,2021-02-23
785,-13,2021-02-24
786,3,2021-02-25
787,5,2021-02-26
788,2,2021-02-27
789,1,2021-02-28
790,2,2021-01-03
791,3,2021-02-03
792,2,2021-03-03
793,1,2021-04-03
794,-2,2021-05-03
795,-5,2021-06-03
796,-2,2021-07-03
797,-5,2021-08-03
798,-11,2021-09-03
799,-14,2021-10-03
800,-10,2021-11-03
801,-7,2021-12-03
802,-3,2021-03-13
803,2,2021-03-14
804,2,2021-03-15
805,1,2021-03-16
806,1,2021-03-17
807,3,2021-03-18
808,1,2021-03-19
809,-1,2021-03-20
810,0,2021-03-21
811,2,2021-03-22
812,0,2021-03-23
813,3,2021-03-24
814,6,2021-03-25
815,6,2021-03-26
816,6,2021-03-27
817,5,2021-03-28
818,4,2021-03-29
819,5,2021-03-30
820,5,2021-03-31
821,7,2021-01-04
822,5,2021-02-04
823,6,2021-03-04
824,6,2021-04-04
825,8,2021-05-04
826,11,2021-06-04
827,11,2021-07-04
828,5,2021-08-04
829,8,2021-09-04
830,11,2021-10-04
831,16,2021-11-04
832,14,2021-12-04
833,21,2021-04-13
834,21,2021-04-14
835,20,2021-04-15
836,17,2021-04-16
837,18,2021-04-17
838,14,2021-04-18
839,13,2021-04-19
840,9,2021-04-20
841,7,2021-04-21
842,14,2021-04-22
843,14,2021-04-23
844,6,2021-04-24
845,7,2021-04-25
846,8,2021-04-26
847,4,2021-04-27
848,9,2021-04-28
849,10,2021-04-29
850,15,2021-04-30
851,12,2021-01-05
852,13,2021-02-05
853,18,2021-03-05
854,7,2021-04-05
855,14,2021-05-05
856,15,2021-06-05
857,14,2021-07-05
858,10,2021-08-05
859,9,2021-09-05
860,15,2021-10-05
861,21,2021-11-05
862,23,2021-12-05
863,19,2021-05-13
864,22,2021-05-14
865,23,2021-05-15
866,23,2021-05-16
867,28,2021-05-17
868,29,2021-05-18
869,24,2021-05-19
870,20,2021-05-20
871,16,2021-05-21
872,20,2021-05-22
873,22,2021-05-23
874,20,2021-05-24
875,20,2021-05-25
876,24,2021-05-26
877,20,2021-05-27
878,22,2021-05-28
879,19,2021-05-29
880,14,2021-05-30
881,13,2021-05-31
882,17,2021-01-06
883,19,2021-02-06
884,22,2021-03-06
885,22,2021-04-06
886,23,2021-05-06
887,24,2021-06-06
888,23,2021-07-06
889,22,2021-08-06
890,20,2021-09-06
891,17,2021-10-06
892,19,2021-11-06
893,21,2021-12-06
894,23,2021-06-13
895,26,2021-06-14
896,25,2021-06-15
897,23,2021-06-16
898,24,2021-06-17
899,25,2021-06-18
900,28,2021-06-19
901,29,2021-06-20
902,30,2021-06-21
903,32,2021-06-22
904,33,2021-06-23
905,33,2021-06-24
906,32,2021-06-25
907,32,2021-06-26
908,32,2021-06-27
909,30,2021-06-28
910,23,2021-06-29
911,22,2021-06-30
912,23,2021-01-07
913,22,2021-02-07
914,22,2021-03-07
915,22,2021-04-07
916,25,2021-05-07
917,27,2021-06-07
918,28,2021-07-07
919,30,2021-08-07
920,31,2021-09-07
921,32,2021-10-07
922,31,2021-11-07
923,31,2021-12-07
924,32,2021-07-13
925,33,2021-07-14
926,32,2021-07-15
927,32,2021-07-16
928,31,2021-07-17
929,30,2021-07-18
930,29,2021-07-19
931,26,2021-07-20
932,24,2021-07-21
933,22,2021-07-22
934,22,2021-07-23
935,21,2021-07-24
936,23,2021-07-25
937,26,2021-07-26
938,28,2021-07-27
939,24,2021-07-28
940,25,2021-07-29
941,24,2021-07-30
942,25,2021-07-31
943,25,2021-01-08
944,29,2021-02-08
945,23,2021-03-08
946,22,2021-04-08
947,23,2021-05-08
948,23,2021-06-08
949,28,2021-07-08
950,25,2021-08-08
951,28,2021-09-08
952,28,2021-10-08
953,23,2021-11-08
954,23,2021-12-08
955,22,2021-08-13
956,24,2021-08-14
957,26,2021-08-15
958,27,2021-08-16
959,29,2021-08-17
960,29,2021-08-18
961,24,2021-08-19
962,25,2021-08-20
963,20,2021-08-21
964,20,2021-08-22
965,20,2021-08-23
966,19,2021-08-24
967,18,2021-08-25
968,21,2021-08-26
969,22,2021-08-27
970,21,2021-08-28
971,23,2021-08-29
972,24,2021-08-30
973,26,2021-08-31
974,19,2021-01-09
975,15,2021-02-09
976,13,2021-03-09
977,12,2021-04-09
978,10,2021-05-09
979,12,2021-06-09
980,13,2021-07-09
981,15,2021-08-09
982,18,2021-09-09
983,20,2021-10-09
984,18,2021-11-09
985,21,2021-12-09
986,22,2021-09-13
987,15,2021-09-14
988,12,2021-09-15
989,10,2021-09-16
990,8,2021-09-17
991,11,2021-09-18
992,9,2021-09-19
993,7,2021-09-20
994,8,2021-09-21
995,8,2021-09-22
996,11,2021-09-23
997,11,2021-09-24
998,11,2021-09-25
999,12,2021-09-26
1000,11,2021-09-27
1001,10,2021-09-28
1002,10,2021-09-29
1003,8,2021-09-30
1004,8,2021-01-10
1005,9,2021-02-10
1006,10,2021-03-10
1007,11,2021-04-10
1008,9,2021-05-10
1009,12,2021-06-10
1010,11,2021-07-10
1011,12,2021-08-10
1012,12,2021-09-10
1013,13,2021-10-10
1014,12,2021-11-10
1015,13,2021-12-10
1016,14,2021-10-13
1017,9,2021-10-14
1018,8,2021-10-15
1019,11,2021-10-16
1020,8,2021-10-17
1021,7,2021-10-18
1022,5,2021-10-19
1023,3,2021-10-20
1024,13,2021-10-21
1025,13,2021-10-22
1026,9,2021-10-23
1027,4,2021-10-24
1028,3,2021-10-25
1029,7,2021-10-26
1030,6,2021-10-27
1031,10,2021-10-28
1032,9,2021-10-29
1033,12,2021-10-30
1034,7,2021-10-31
1035,9,2021-01-11
1036,5,2021-02-11
1037,7,2021-03-11
1038,9,2021-04-11
1039,12,2021-05-11
1040,12,2021-06-11
1041,7,2021-07-11
1042,6,2021-08-11
1043,3,2021-09-11
1044,1,2021-10-11
1045,2,2021-11-11
1046,5,2021-12-11
1047,4,2021-11-13
1048,2,2021-11-14
1049,1,2021-11-15
1050,1,2021-11-16
1051,0,2021-11-17
1052,0,2021-11-18
1053,2,2021-11-19
1054,2,2021-11-20
1055,2,2021-11-21
1056,-1,2021-11-22
1057,-2,2021-11-23
1058,1,2021-11-24
1059,2,2021-11-25
1060,2,2021-11-26
1061,2,2021-11-27
1062,4,2021-11-28
1063,4,2021-11-29
1064,7,2021-11-30
1065,-2,2021-01-12
1066,0,2021-02-12
1067,2,2021-03-12
1068,0,2021-04-12
1069,-2,2021-05-12
1070,-3,2021-06-12
1071,0,2021-07-12
1072,-1,2021-08-12
1073,-10,2021-09-12
1074,-12,2021-10-12
1075,-11,2021-11-12
1076,-3,2021-12-12
1077,-2,2021-12-13
1078,-3,2021-12-14
1079,-1,2021-12-15
1080,1,2021-12-16
1081,1,2021-12-17
1082,-1,2021-12-18
1083,0,2021-12-19
1084,-4,2021-12-20
1085,-16,2021-12-21
1086,-21,2021-12-22
1087,-11,2021-12-23
1088,-10,2021-12-24
1089,-7,2021-12-25
1090,-6,2021-12-26
1091,-9,2021-12-27
1092,-10,2021-12-28
1093,-11,2021-12-29
1094,-9,2021-12-30
1095,-3,2021-12-31
1096,-1,2022-01-01
1097,-4,2022-02-01
1098,-8,2022-03-01
1099,-8,2022-04-01
1100,-6,2022-05-01
1101,0,2022-06-01
1102,-1,2022-07-01
1103,-4,2022-08-01
1104,-4,2022-09-01
1105,-6,2022-10-01
1106,-7,2022-11-01
1107,-13,2022-12-01
1108,-2,2022-01-13
1109,2,2022-01-14
1110,-2,2022-01-15
1111,-3,2022-01-16
1112,-2,2022-01-17
1113,-2,2022-01-18
1114,-6,2022-01-19
1115,-3,2022-01-20
1116,-3,2022-01-21
1117,-4,2022-01-22
1118,-5,2022-01-23
1119,-7,2022-01-24
1120,-8,2022-01-25
1121,-4,2022-01-26
1122,-7,2022-01-27
1123,-6,2022-01-28
1124,-6,2022-01-29
